character	killed by	caused by	death	type
Camille	Four-hundred Roses | Sinners	Dante	Corroded by the Four-hundred Roses and then slain by the Sinners, led by Dante	
Dulcinea	Sinners (minus Don Quixote)	Dante	Slain by the Sinners (minus Don Quixote), led by Dante	
Faust	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
Firefist Office Big Sis	Sinners	Dante	Turned into a Bloodbag by La Manchaland's Bloodfiends and slain by the Sinners, led by Dante	
Gregor	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
Heathcliff	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
Hong Lu	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
Hugo	Ryōshū		Bled out after having both hands severed by Ryōshū	
Ishmael	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
La Manchaland's Don Quixote	Sancho		Fatally impaled by Sancho's lance	
Meursault	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
Outis	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
Paula	Four-hundred Roses | Sinners	Dante	Corroded by the Four-hundred Roses and then slain by the Sinners, led by Dante	
Prideful Fanghunt Office Fixer	Dulcinea		Devoured by Dulcinea's faction	
Rodion	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
Romero	Sansón		Struck down by Sansón	
Ryōshū	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
Sinclair	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
The Barber	Sinners (minus Don Quixote)	Dante	Slain by the Sinners (minus Don Quixote), led by Dante	
The Priest	Sinners (minus Don Quixote)	Dante	Slain by the Sinners (minus Don Quixote), led by Dante	
Yi Sang	La Manchaland's Don Quixote		Crushed with a sphere of blood by La Manchaland's Don Quixote (undone by Dante)	undone
