Victim,Killer,Cause
1 Anti-Marleyan Volunteer killed by Floch Forster,Floch Forster,Shot to death
1 Anti-Marleyan Volunteer killed by Yelena,Yelena,Shot to death
1 Marleyan Captain,Yelena,Shot to death
1 Marleyan Soldier,Jean Kirstein,Shot to death
1 Member of the Anti-Personnel Control Squad killed by Armin Arlert,Armin Arlert,Shot to death
1 Member of the Anti-Personnel Control Squad killed by Connie Springer,Connie Springer,Shot to death
1 Member of the Anti-Personnel Control Squad killed by Hange Zoë,Hange Zoë,Shot to death
1 Member of the Anti-Personnel Control Squad killed by Jean Kirstein,Jean Kirstein,Shot to death
1 Member of the Anti-Personnel Control Squad killed by Mikasa Ackerman,Mikasa Ackerman,Shot to death
1 Member of the Anti-Personnel Control Squad killed by Sasha Blouse,Sasha Blouse,Shot to death
1 Member of the Survey Corps,Ymir,Sliced to death
1 Member of the Yeagerists killed by Gabi Braun,Gabi Braun,Shot to death
1 Member of the Yeagerists killed by Jean Kirstein,Jean Kirstein,Shot to death
1 Previous Inheritor of the Armored Titan,Reiner Braun,Eaten alive
1 Previous Inheritor of the Attack Titan,Eren Kruger,Eaten alive
1 Previous Inheritor of the Beast Titan,Tom Ksaver,Eaten alive
1 Previous Inheritor of the Cart Titan,Pieck Finger,Eaten alive
1 Previous Inheritor of the Colossus Titan,Bertolt Hoover,Eaten alive
1 Previous Inheritor of the Female Titan,Annie Leonhart,Eaten alive
1 Previous Inheritor of the Founding Titan,Rod and Uri's father,Eaten alive
1 Previous Inheritor of the Jaw Titan,Marcel Galliard,Eaten alive
1 Previous Inheritor of the War Hammer Titan,Lara Tybur,Eaten alive
1 Soldier of the Mid-East Allied Forces,Gabi Braun,Caught in an explosion
1 Survey Corps Member,Reiner Braun,Crushed to death
1 Survey Corps Soldier,Porco Galliard,Sliced to death
1 Unnamed Civilian,Djel Sannes,Tortured to death
1 Unnamed Member of the Survey Corps,Pieck Finger,Unknown
100 Members of the Military Police Brigade,Kenny Ackerman,Various
15 Unnamed Survey Corps Members,Annie Leonhart,Various
16 Members of the Yeagerists,Theo Magath,Various
17 Unnamed Survey Corps Members,Bertolt Hoover,Various
2 Marleyan Soldiers killed by Connie Springer,Connie Springer,Various
2 Marleyan Soldiers killed by Mikasa Ackerman,Mikasa Ackerman,Various
2 Members of the Yeagerists,Keith Shadis,Various
2 Unnamed Members of the Yeagerists,Falco Grice,Various
3 Hizuru Guards,Floch Forster,Various
3 Unnamed Members of the Yeagerists,Pieck Finger,Various
4 Members of the Yeagerists,Connie Springer,Various
4 Unnamed Members of the Yeagerists killed by Annie Leonhart,Annie Leonhart,Various
4 Unnamed Members of the Yeagerists killed by Reiner Braun,Reiner Braun,Various
4 Unnamed Survey Corps Members,Carlo,Various
49 Unnamed Survey Corps Members,Zeke Yeager,Various
5 Members of the Mid-East Allied Forces,Carlo,Various
5 Unnamed Mid-East Allied Forces Soldiers,Porco Galliard,Various
7 Members of the Anti-Personnel Control Squad,Levi Ackerman,Various
8 Members of the Mid-East Allied Forces,Reiner Braun,Various
8 Members of the Yeagerists killed by Hange Zoë,Hange Zoë,Various
8 Members of the Yeagerists killed by Mikasa Ackerman,Mikasa Ackerman,Various
9 Anti-Personnel Control Squad Members,Rod Reiss,Various
9 Marleyan Soldiers,Eren Kruger,Various
~50000000 Victims of the Rumbling,Eren Yeager & Wall Titans,Stomped to death
Abel,Military Police Brigade,Shot in the head
Abel Reiss,Grisha Yeager,Crushed to death
Ackerman,The Robbers' Leader,Stabbed to death
Alma,Kenny Ackerman,Throat slit
Anka Rheinberger,Unknown Causes,Unknown
Audience Members,Eren Yeager,Crushed to death
Bean,Annie Leonhart,Unknown
Beirer,Pure Titans,Eaten alive
Bertolt Hoover,Armin Arlert,Eaten alive
Calvi,Eren Yeager,Crushed to death
Carla Yeager,Dina Fritz,Crushed to death
Carlo,Sasha Blouse,Shot in the head
Charlotte,Unknown Causes,Unknown
Colt Grice,Falco Grice & Zeke Yeager,Burned to death
Dan,Military Police Brigade,Shot to death
Darius Baer-Varbrun,Annie Leonhart,Kicked to death
Darius Zackly,Yeagerists,Caught in an explosion
Daz,Connie Springer,Shot in the head
Dieter,Unknown Causes,Unknown
Dimo Reeves,Kenny Ackerman,Throat slit
Dina Fritz,Eren Yeager & Pure Titans,Ripped to pieces
Dirk,Zeke Yeager,Struck by a rock at high velocity
Dirk Reiss,Grisha Yeager,Crushed to death
Dita Ness,Annie Leonhart,Thrown to the ground at high velocity
Dot Pixis,Armin Arlert,Nape blown up
Duran,Levi Ackerman,Sliced to death
Eld Jinn,Annie Leonhart,Bitten in half
Eleventh Commander,Pure Titans,Eaten alive
Eren Kruger,Grisha Yeager,Eaten alive
Eren Yeager,Mikasa Ackerman,Decapitated with a sword
Erwin Smith,Zeke Yeager,Fatally wounded by a high velocity rock
Erwin's Father,Military Police Brigade,Tortured to death
Faye Yeager,Gross,Mauled to death
Floch Forster,Mikasa Ackerman,Throat pierced then bled out
Florian Reiss,Grisha Yeager,Stomped to death
Franz Kefka,Pure Titans,Bitten in half
Frieda Reiss,Grisha Yeager,Eaten alive
Fritz,Unknown Causes,Unknown
Gelgar,Pure Titans & Zeke Yeager,Ripped to pieces
Gordon,Zeke Yeager,Struck by a rock at high velocity
Grandfather Arlert,Pure Titans,Eaten alive
Grice,Gross & Pure Titans,Eaten alive
Griez,Yelena,Shot in the head
Grisha Yeager,Eren Yeager,Eaten alive
Gross,Peering Titan & Eren Kruger,Eaten alive
Gunther Schultz,Annie Leonhart,Nape sliced
Halil,Eren Yeager & Wall Titans,Crushed by falling debris
Hange Zoë,Eren Yeager & Wall Titans,Fatally burned
Hannah Diamant,Pure Titans,Unknown
Hannes,Dina Fritz,Eaten alive
Harold,Bertolt Hoover,Caught in an explosion
Henning,Zeke Yeager,Struck by a rock at high velocity
Ian Dietrich,Pure Titans,Head bitten off
Ilse Langnar,Talking Titan,Head bitten off
Jim,Military Police Brigade,Shot to death
Karl Fritz,Unknown Causes,Unknown
Keiji,Traute Caven,Shot in the head
Keith Shadis,Theo Magath,Caught in an explosion
Kenny Ackerman,Rod Reiss,Fatally burned
Kenny's Grandfather,Natural Causes,Unknown
Klaus,Zeke Yeager,Struck by a rock at high velocity
Koslow,Mikasa Ackerman,Sliced to death
Kuchel Ackerman,Natural Causes,Disease
Lara Tybur,Eren Yeager & Porco Galliard,Crushed to death
Lobov,Gabi Braun,Shot in the head
Luke Siss,Annie Leonhart,Crushed to death
Lynne,Zeke Yeager,Struck by a rock at high velocity
Marcel Galliard,Ymir,Eaten alive
Marco Bott,Pure Titans & Annie Leonhart & Reiner Braun & Bertolt Hoover,Bitten in half
Maria Fritz,Unknown Causes,Unknown
Marlene,Zeke Yeager,Struck by a rock at high velocity
Marleyan Officer,Eldian Soldiers,Stabbed with multiple spears
Marlowe Freudenberg,Zeke Yeager,Struck by a rock at high velocity
Martin Springer,Survey Corps,Nape sliced
Mikasa's Mother,The Robbers' Axe-man,Struck with an axe
Mike Zacharias,Zeke Yeager & Pure Titans,Ripped to pieces
Mina Carolina,Peering Titan,Head bitten off
Mitabi Jarnach,Pure Titans,Crushed to death
Moblit Berner,Bertolt Hoover,Caught in an explosion
Moses Braun,Pure Titans,Eaten alive
Mr. Arlert,Djel Sannes,Unknown
Mr. Springer,Survey Corps,Nape sliced
Mrs. Arlert,Djel Sannes,Unknown
Mylius Zeramuski,Pure Titans,Crushed to death
Nac Tias,Pure Titans,Eaten alive
Nanaba,Pure Titans & Zeke Yeager,Ripped to pieces
Nick,Djel Sannes,Tortured to death
Nifa,Kenny Ackerman,Shot in the head
Nile Dok,Gabi Braun,Shot through the mouth
Oliver,Hange Zoë,Throat slit
Oluo Bozado,Annie Leonhart,Kicked to death
Peering Titan,Mikasa Ackerman,Nape sliced
Petra Ral,Annie Leonhart,Crushed against a tree
Porco Galliard,Falco Grice,Eaten alive
Pure Titans,Survey Corps,Nape sliced
Ramzi,Eren Yeager & Wall Titans,Stomped to death
Rod and Uri's Father,Uri Reiss,Eaten alive
Rod Reiss,Historia Reiss,Nape sliced
Rod's Wife,Grisha Yeager,Stomped to death
Roeg,Keith Shadis,Nape sliced
Rose Fritz,Unknown Causes,Unknown
Ruth D. Kline,Pure Titans,Eaten alive
Samuel,Connie Springer,Shot in the head
Sandra,Zeke Yeager,Struck by a rock at high velocity
Sasha Blouse,Gabi Braun,Shot in the stomach then bled out
Sheena Fritz,Unknown Causes,Unknown
Sonny,Annie Leonhart,Unknown
Sunny Springer,Survey Corps,Nape sliced
Talking Titan,Levi Ackerman,Nape sliced
The Robbers' Axe-man,Eren Yeager,Stabbed to death
The Robbers' Latecomer,Mikasa Ackerman,Stabbed in the heart
The Robbers' Leader,Eren Yeager,Repeatedly stabbed to death
Theo Magath,Theo Magath,Caught in an explosion
Thomas Wagner,Pure Titans,Eaten alive
Tom,Pure Titans,Eaten alive
Tom Ksaver,Zeke Yeager,Eaten alive
Traute Caven,Rod Reiss,Crushed by falling debris
Udo,Audience Members,Trampled to death
Uri Reiss,Frieda Reiss,Eaten alive
Urklyn Reiss,Grisha Yeager,Crushed to death
Varis,Levi Ackerman,Nape sliced
Willy Tybur,Eren Yeager,Crushed to death
Ymir,Porco Galliard,Eaten alive
Ymir Fritz,Marleyan Officer,Impaled by a spear
Zeke Yeager,Levi Ackerman,Decapitated with a sword
Zofia,Eren Yeager,Crushed by a boulder
